experiment_id,experiment_name,hypothesis,target_accounts,success_metric,result,decision,created_at
98e1a8d5-5e8d-42ac-9edf-1f022a2781b4,Expansion Candidate Discovery Sequence,Expansion candidate accounts will create more pipeline if AEs run a structured discovery sequence.,41,Expansion pipeline created,Experiment showed clear positive impact and should be expanded.,Scale,2026-04-18 16:12:23.132135
910fc634-5e76-4647-972b-82e6bcb7ab5f,Renewal Acceleration Campaign,Renewal-stage accounts will close faster if renewal conversations start earlier.,21,Renewal cycle length,Results exceeded the success threshold and should be scaled.,Scale,2026-01-05 16:12:23.132135
10e92def-eb57-4509-bb80-ef0dca44b840,High-Risk Account Executive Outreach,High-risk accounts will show lower churn risk if an executive check-in is triggered within 7 days.,37,Churn score reduction,Experiment showed clear positive impact and should be expanded.,Scale,2026-06-04 16:12:23.132135
36d05cb0-1076-4268-b0cc-352c4cdf60d3,High-Risk Account Executive Outreach,High-risk accounts will show lower churn risk if an executive check-in is triggered within 7 days.,63,Churn score reduction,Experiment showed partial improvement but needs refinement.,Iterate,2026-01-12 16:12:23.132135
53fb618f-5e87-4228-87c7-dccc993c76fc,QBR Scheduling Experiment,Customers with scheduled QBRs will show stronger retention signals than customers without QBRs.,30,Meeting booked rate,Results were weak and do not justify continuation.,Stop,2026-06-26 16:12:23.132135
9267ffe8-e66c-40dc-8f49-e492fd8b5246,Support Escalation Workflow,Accounts with high support ticket volume will reduce churn risk if escalated to CSM leadership.,37,Support ticket reduction,Results were weak and do not justify continuation.,Stop,2026-05-19 16:12:23.132135
ed52acb9-b81d-4f68-a424-714e8de7dd25,Expansion Candidate Discovery Sequence,Expansion candidate accounts will create more pipeline if AEs run a structured discovery sequence.,22,Expansion pipeline created,Results exceeded the success threshold and should be scaled.,Scale,2026-03-22 16:12:23.132135
e6b01136-c3e8-417a-b53d-1bb4c85ddb41,Support Escalation Workflow,Accounts with high support ticket volume will reduce churn risk if escalated to CSM leadership.,68,Support ticket reduction,Experiment did not improve the target metric.,Stop,2026-06-16 16:12:23.132135
57f1b4e5-8afe-4610-81ac-dcdaed62ba69,Email Engagement Test,Personalized account emails will increase reply rates compared with generic lifecycle emails.,47,Email reply rate,Results exceeded the success threshold and should be scaled.,Scale,2026-02-06 16:12:23.132135
66a1afe2-6cd4-4cca-a918-90ba04eb617f,Onboarding Activation Push,Onboarding customers will improve health scores if CSMs trigger training within the first 14 days.,39,Health score improvement,Results exceeded the success threshold and should be scaled.,Scale,2026-06-16 16:12:23.132135
0cfe670c-eb74-4dee-8726-6fb0292a8d3f,Expansion Candidate Discovery Sequence,Expansion candidate accounts will create more pipeline if AEs run a structured discovery sequence.,58,Expansion pipeline created,Results were promising but require another test cycle.,Iterate,2026-06-02 16:12:23.132135
6dd76e5c-ba25-4e02-9d81-043b9b0730b6,QBR Scheduling Experiment,Customers with scheduled QBRs will show stronger retention signals than customers without QBRs.,57,Meeting booked rate,Results were weak and do not justify continuation.,Stop,2026-05-17 16:12:23.132135
dbfed8f8-07fa-446d-addb-498bf45dd452,Onboarding Activation Push,Onboarding customers will improve health scores if CSMs trigger training within the first 14 days.,19,Health score improvement,Experiment did not improve the target metric.,Stop,2025-12-30 16:12:23.132135
921219b5-97ab-43e4-a993-6a5c76855993,Onboarding Activation Push,Onboarding customers will improve health scores if CSMs trigger training within the first 14 days.,58,Health score improvement,Results were promising but require another test cycle.,Iterate,2026-03-01 16:12:23.132135
70d8f84f-89b1-4d09-9f25-133a3e058c34,Onboarding Activation Push,Onboarding customers will improve health scores if CSMs trigger training within the first 14 days.,39,Health score improvement,Experiment did not improve the target metric.,Stop,2026-06-13 16:12:23.132135
93302601-91a7-4e25-b846-1933b3ab044a,Support Escalation Workflow,Accounts with high support ticket volume will reduce churn risk if escalated to CSM leadership.,18,Support ticket reduction,Results were mixed and require more data.,Inconclusive,2026-04-20 16:12:23.132135
4dfb1bc8-de80-48ca-8b0c-4affadba0493,Support Escalation Workflow,Accounts with high support ticket volume will reduce churn risk if escalated to CSM leadership.,73,Support ticket reduction,Results were promising but require another test cycle.,Iterate,2026-01-11 16:12:23.132135
011f0754-9ff1-498e-a79d-cd189234d8a9,QBR Scheduling Experiment,Customers with scheduled QBRs will show stronger retention signals than customers without QBRs.,27,Meeting booked rate,Experiment showed partial improvement but needs refinement.,Iterate,2026-04-21 16:12:23.132135
1736b7bc-565c-495c-9231-9309450544cd,Feature Adoption Campaign,Accounts with low feature adoption will increase usage after receiving targeted enablement.,61,Feature adoption rate,Sample size was too small to make a confident decision.,Inconclusive,2026-01-29 16:12:23.132135
97d93b0c-c145-4ce3-aee4-4423b58ff555,Onboarding Activation Push,Onboarding customers will improve health scores if CSMs trigger training within the first 14 days.,73,Health score improvement,Experiment showed partial improvement but needs refinement.,Iterate,2026-02-17 16:12:23.132135
